UniqueCount	AmbigCount
4	87
0	71
2	71
0	0
0	1
0	1
0	0
0	27
0	8
0	1
5	5
0	0
0	28
0	24
0	101
0	4
0	743
0	95
2	3684
0	9
0	3
0	11
0	9
0	2
0	20
0	0
0	3
0	0
0	28
4	45
0	73
0	39
0	0
0	29
0	29
0	16
0	2
0	1
0	7
0	0
1	29
0	9
0	31
0	19
9	5
2	56
0	17
0	22
0	166
0	925
0	47
0	41
0	215
0	3009
0	14
0	0
0	10
1	20
0	12
0	22
0	11
1	13
0	18
0	1
0	1
0	13
0	3
0	16
0	9
0	56
21	48
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
1	20
0	6
0	150
0	162
0	956
5	2662
0	13
1	9
0	0
0	0
9	3
0	7
0	4
0	2
0	3
0	1
0	8
0	2
1	2
0	7
0	0
0	0
2	10
0	26
0	19
0	20
1	14
0	14
0	15
0	7
0	1
0	1
59	2
0	1
4	0
0	25
11	3
0	7
34	31
0	80
1	81
11	138
0	17
0	13
0	63
0	57
0	16
30	128
3	7
2	4
141	12
0	2
0	1
0	1
0	2
0	0
0	7
8	7
0	1
0	1
0	0
0	45
0	24
0	347
11	351
0	335
0	336
1	319
0	313
2	334
0	301
0	351
0	307
0	97
0	0
0	38
0	15
0	19
3	653
227	1884
0	1695
0	0
0	462
0	24
34	88
0	81
103	87
0	14
0	1
0	0
1	147
11	161
0	155
2	15
2	33
0	22
0	22
0	22
0	0
0	8
0	6
0	8
0	5
0	15
0	10
0	0
4	0
7	15
178	4691
0	4691
0	2
1	223
0	196
1	123
0	12
7	129
0	210
200	1143
0	69
0	13
0	2
0	0
0	13
0	0
2	8
0	8
3	0
0	611
0	484
0	669
0	538
5	426
39	697
0	654
1	156
14	453
0	200
2	169
0	211
0	71
0	56
0	40
0	43
0	72
0	39
0	11
21	0
0	0
0	0
0	0
0	0
75	10
0	10
7	439
0	439
0	216
0	68
1	4
4	15
1	11
0	16
0	6
2	15
45	119
11	119
0	26
18	1576
0	1488
1	1382
23	861
0	748
0	329
0	335
197	0
42	38
1	18
6	36
2	5
0	1
0	0
0	733
0	834
7	734
8	391
0	526
3	327
0	398
2	75
0	461
0	257
0	53
0	101
0	252
40	333
7	201
2	5
0	66
3	74
0	126
2	5
0	0
0	0
1	145
0	102
0	116
0	132
0	120
9	13
0	120
0	2
0	30
17	385
0	348
7	306
0	240
7	9
0	0
5	66
0	86
0	3
0	36
0	21
13	13
0	14
0	0
0	5
0	2
1	4
0	4
6	3
0	79
0	149
0	141
0	58
0	124
0	139
0	9
0	137
0	123
0	96
3	135
0	123
0	147
0	123
0	115
0	121
0	135
0	88
0	139
1	134
0	126
0	171
0	0
0	73
0	26
0	13
0	8
0	14
0	2
0	10
1	26
0	14
0	19
4	24
1	20
0	18
0	0
0	0
0	14
0	0
0	16
0	22
2	23
1	13
0	7
0	6
0	4
0	1
0	4
0	5
2	4
0	0
0	4
0	170
249	219
14	61
2	0
0	2349
371	2367
0	1774
0	0
0	176
0	12
0	28
0	36
0	29
0	33
0	9
0	5
0	11
0	1
0	0
27	1078
196	948
58	953
2	952
0	86
28	130
0	0
121	400
0	328
52	288
0	362
0	426
0	369
0	335
0	357
0	332
0	216
0	183
0	76
0	38
3	48
0	19
0	39
0	9
19	36
30	5
3	8
0	22
2	99
0	91
0	4
0	2
1	85
0	87
0	53
386	1242
0	690
14	928
0	60
0	541
0	0
1	164
2	6
0	151
31	168
0	154
0	55
0	49
0	0
0	0
48	79
0	0
0	61
0	70
0	2
72	505
0	505
4	1
1679	288
0	43
2	127
49	457
6	422
0	64
0	244
0	178
10	720
3	693
0	687
0	687
3	19
0	83
0	88
0	0
0	0
0	0
567	1437
0	1031
7	419
188	160
7	1
0	0
0	0
0	0
0	0
115	5
0	460
0	482
0	424
0	472
43	495
0	423
0	459
0	12
0	46
0	394
1	35
0	325
0	0
0	0
0	72
0	454
0	242
0	40
0	422
0	394
2	10
0	16
0	376
1	46
0	15
0	29
1	35
0	141
0	102
31	164
0	66
0	58
0	71
0	10
0	46
0	64
0	64
0	71
1	47
0	27
2	41
0	31
0	8
0	6
90	972
0	908
0	925
0	811
0	742
0	804
0	803
0	803
1	808
0	155
0	42
0	659
0	3080
0	2771
4	1146
0	400
0	0
0	0
0	58
0	771
1	599
0	186
2	658
2	747
0	562
0	713
0	757
0	693
0	752
0	632
0	47
0	82
0	41
0	3
0	139
0	27
0	27
1	59
1	104
0	49
0	10
0	1
0	1
0	0
69	204
6	580
0	8
2	319
0	0
0	0
13	1677
7	1634
0	1496
1	766
0	15
2	282
0	117
0	63
0	223
1	82
0	40
0	175
19	275
0	192
1	191
10	115
