UniqueCount	AmbigCount
0	85
0	61
1	80
0	0
0	1
0	1
0	0
0	24
0	9
0	3
1	2
0	0
0	37
0	31
0	84
0	2
0	758
0	118
0	3722
0	10
1	3
0	12
0	8
0	3
0	21
0	0
0	4
0	0
0	26
6	53
0	100
0	57
0	0
0	15
0	14
0	8
0	4
0	1
0	4
0	0
2	36
0	9
0	38
0	23
6	6
0	40
0	13
0	25
0	152
0	952
0	31
0	32
0	244
0	3066
0	18
0	1
0	11
0	18
0	13
0	23
0	11
0	16
0	22
0	2
0	0
0	17
0	1
0	22
0	14
0	40
34	45
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	16
0	5
0	143
0	151
0	984
11	2736
0	18
1	8
0	0
0	0
8	4
1	5
1	11
0	9
0	7
0	6
0	10
0	4
3	4
0	7
0	1
0	1
1	10
0	23
0	20
0	18
1	16
0	9
0	14
0	8
0	1
0	3
69	0
0	1
8	0
0	27
9	0
0	13
50	46
0	86
0	82
5	153
0	20
0	11
0	83
0	76
0	18
20	145
6	13
4	10
152	31
0	2
0	2
0	0
0	3
0	0
0	8
10	8
0	4
2	3
0	1
0	39
1	18
0	325
9	324
0	299
0	301
3	279
0	292
2	313
0	269
0	323
0	293
0	111
0	1
0	46
0	16
0	22
2	646
167	1931
0	1767
0	0
0	473
0	23
31	95
0	95
94	107
0	18
0	0
0	0
3	156
14	170
0	165
3	17
1	40
0	13
0	13
0	13
0	0
0	5
0	4
4	4
0	3
0	26
0	22
0	0
1	0
13	26
153	4682
0	4682
0	0
2	183
0	210
0	112
0	11
4	130
0	235
198	1099
0	69
0	13
0	0
0	0
0	13
0	0
0	8
0	9
2	0
0	635
0	508
0	686
0	563
1	469
40	731
0	672
0	149
10	439
1	190
1	147
0	203
0	60
0	52
0	36
0	41
1	84
0	32
0	11
26	0
0	0
0	0
0	0
0	0
90	8
0	8
10	479
0	479
0	230
0	76
2	15
0	17
0	13
0	19
0	10
3	17
59	102
9	102
0	19
27	1676
0	1600
2	1489
19	927
0	817
0	350
0	359
186	0
51	38
1	21
6	31
3	12
0	3
3	1
0	680
0	796
9	694
0	333
0	470
0	279
0	322
3	50
0	408
0	231
0	55
0	78
0	234
52	303
9	186
5	6
0	55
2	75
0	121
3	7
0	0
0	0
2	146
0	103
1	123
0	135
0	127
3	13
0	127
0	1
1	30
18	332
0	311
10	255
0	198
1	6
0	0
5	43
1	53
0	2
0	35
0	19
11	14
0	12
0	0
1	2
0	2
0	1
0	2
5	1
0	86
0	151
0	137
0	53
0	118
0	138
0	6
0	131
0	119
0	81
0	137
0	117
0	151
0	119
0	114
0	130
0	135
0	79
0	128
0	142
0	128
